District,Latitude,Longitude,SubRetailer Draw ID
Gövhər Market Sumqayıt,40.5725585,49.683792,11604.0869
Vortex Vape Köşk Sumqayıt 1 MKR,40.5861237,49.6829261,11604.2498
Oqtay Abdullayev Nəriman,40.5840507,49.6798327,11604.8553
Kiosk Nail Sumqayıt,40.5867805,49.6786344,11604.2468
Cəfər Qaçayev Cərulla,40.5887397,49.676234,11604.8552
İsmayıl Həsənov Məhəmməd,40.5903129,49.6753411,11604.8605
Bəxtiyar Dəmirov Bayram,40.5832366,49.6744999,11604.8604
Kiosk Rauf Sumqayıt,40.5882285,49.6734579,11604.2408
Rafiq Əliyev Miri,40.5881239,49.6733758,11604.8616
Teymur Bayramov Nizaməddin,40.5884362,49.6732056,11604.8621
Ramin Bayramov Bayram,40.5900165,49.6723797,11604.8617
Rövşən Aslanov Ələsgəroviç,40.5868903,49.670432,11604.8618
Telman Məmmədov Mustafa,40.5864497,49.6701666,11604.862
Qalib Babayev Elman,40.5854907,49.6673539,11604.8615
Emil Market Sumqayıt 41,40.5831852,49.6668844,11604.2519
Teymur Əbilov Kamil,40.585782,49.6667487,11604.8729
Əmrah Kərimli İslam,40.5844563,49.6653979,11604.8736
Eyvaz Məsiyev Rüstəm,40.600626,49.6644861,11604.8206
Kiosk Zahid Sumqayıt,40.5963522,49.6632131,11604.1007
Namik İbrahimov Mustafa,40.4680215,49.6202415,11604.8079
Taleh Market Qızıldaş,40.2993467,49.6010435,11604.1503
Məhərrəm Salahov Mustafa,40.3062812,49.6001675,11604.7789
Bahadur Market Sahil,40.2287983,49.583485,11604.0097
Ülviyyə Cabbarova Əziz,40.2262192,49.5749185,11604.7966
Rüstəm Mehdiyev Mehdi,40.2259931,49.5741995,11604.7986
Elşad Əliyev Mürşüd,40.2200262,49.5723814,11604.8556
Loğman Xalıqov Vəzirxan,40.6189276,49.5625564,11604.8606
Səbuhi Əmrəliyev Sabir,40.0837027,49.412004,11604.8356
Ruslan Market Ələt,39.9489478,49.4102103,11604.1619
Ələt Market Aqil,39.9554767,49.4089033,11604.006
YUSİF petrol Market Ələt,39.9647665,49.407194,11604.024
Avto Ehtiyyat hissəl Qurban Hacıqabul,39.9722611,49.2582498,11604.1915
Pərviz Market Neftçala,39.3748519,49.2502738,11604.4583
İlkanə Mirzəyeva Əli,41.0704563,49.1168181,11604.864
Mütəllim Quliyev Namiq,41.074576,49.1131352,11604.8641
Yaşar Babayev Qeybulla,41.0762424,49.1113507,11604.8642
Yeni Market Yenikənd Xələc Salya,39.7278917,49.1068883,11604.2152
İdeal Market Salyan,39.7111352,49.0823112,11604.0607
Tarverdiyev Adil Əsədgül,41.1613127,49.0765273,11604.8733
Firudin Market Salyan,39.704561,49.0732894,11604.0392
İsmayıl Market Neftçala,39.4298512,49.0321048,11604.0365
Hüseyin Market Şabran,41.2138972,49.0031807,11604.1142
Elvin Mirzəyev Mirzə,41.2101252,48.9967919,11604.8659
İlkin Etibarlı Market Salyan,39.5603967,48.9906817,11604.2418
Hədiyyələr Market Şabran,41.2047499,48.9886455,11604.1095
Həsən Market Salyan,39.5968004,48.9829781,11604.028
Çingiz Vəliyev Ağayar,41.2022032,48.9811225,11604.8658
Raqif Market Salyan Qarabağlı,39.7757039,48.9787145,11604.1438
Mahir İbrahimov İbrahim,39.5901949,48.9749789,11604.7784
Vağzal Köşk Salyan,39.5898516,48.9741382,11604.1591
Anar Bədirxanov Ariz,39.7717317,48.9738167,11604.7627
F M Market Şabran,41.2049899,48.9736762,11604.0413
Elvin Nəzərov Hacıməmməd,39.7832889,48.9647655,11604.8196
Rafət Market Salyan,39.5610826,48.9595961,11604.106
Babək Market Salyan,39.764741,48.9595339,11604.0517
Elgün Market Salyan,39.5540286,48.9552494,11604.0305
Noxudlu Market Salyan,39.6474115,48.9533914,11604.1241
Arif Hümbətov Yunis,39.9605113,48.947969,11604.8124
Emin Market Şirvan,39.9572794,48.9467271,11604.1698
Endi Meyvə dükanı Hacıqabul,40.00764,48.9446933,11604.1813
Seyidhəsən Market Hacıqabul,40.0327589,48.9446273,11604.1572
Köşk Təvəkkül Şirvan,39.954817,48.9443383,11604.0616
Yeganə Market Şirvan,39.9623086,48.9435106,11604.0644
Kiosk Şəfi Şirvan,39.955861,48.9416502,11604.4581
İsmayıl Mirzəzadə Saleh,39.9554829,48.9413981,11604.8537
Milla Market Şirvan,39.9610322,48.9413902,11604.1845
Aybəniz Market Şirvan,39.9523952,48.9412416,11604.0292
Rafiq Meyvə dükanı Şirvan,39.952612,48.9411138,11604.162
Əlisafa Market Şirvan,39.95174,48.9407149,11604.0062
Ceyhun Kərimov Əbülfəz,39.9519179,48.9397811,11604.8405
Şöhrət Market Şirvan Hacıqəhrəmanl,39.8801459,48.9288728,11604.0287
Qismət Market Hacıqabul,40.0476461,48.9263508,11604.0893
